name	addr	size	len	scr
Filename for Lastreplay	0x4FF900	12	1	
Replay Speed Limiters	0x4FF90C	4	7	
Replay Command Table	0x4FF928	16	2	
Replay show command modifiers	0x4FF948	32	12	
Menu Info Array	0x4FFAD0	12	27	
Campaign List Info	0x4FFC20	8	85	
Establishing shot pointers	0x4FFF60	8	65	
cInit Constructor Function Table	0x50C000	4	310	
Campaign list pointers	0x5122A0	4	6	
Current Cinematic ID	0x5122B8	4	1	
Game Speed Refresh Rate	0x5124D8	4	7	Simple Data
Replay Speed Refresh Rate	0x5124F4	4	7	
Image Update Functions	0x512510	8	18	
Image Drawing Functions	0x5125A0	12	18	
Active Nation ID	0x512678	4	1	Backed By Code
Active Human ID	0x51267C	4	1	Backed By Code
Active Storm ID	0x512680	4	1	Unsupported
Local Nation ID	0x512684	4	1	Backed By Code
Local Human ID	0x512688	4	1	
Local Storm ID	0x51268C	4	1	Unsupported
Cinematic File Name Array	0x512690	4	28	
Race Filename Modifiers	0x512700	8	1	
Cursor Filename Array	0x512708	4	19	
Cursor Scroll Type Modifiers	0x512754	2	10	Unsupported
Tileset Color Cycle Pointers	0x5127DC	4	9	
Trigger Action Function Array	0x512800	4	60	
Mouse and Keyboard Scroll Speed	0x513B68	7	7	Supported
Mouse Scroll Speed Array	0x513B68	7	7	Supported
Unit Reqs data	0x514178	1090	1	Simple Data
Upgrade Reqs data	0x5145C0	838	1	Simple Data
Research Req Data	0x514908	318	1	Simple Data
Tech Use Req Data	0x514A48	688	1	Simple Data
Order Req Data	0x514CF8	1316	1	Simple Data
Trigger Condition Function Array	0x515A98	4	24	
Damage type/factor multipliers vs unit size	0x515B84	20	5	
s_button Offset	0x5187E8	12	250	Backed By Code
Unit Infomation	0x5193A0	12	228	See Description
Mission Briefing Action Function Array	0x519E50	4	10	
Player 1 Trigger List	0x51A280	4	3	Backed By Code
Player 2 Trigger List	0x51A28C	4	3	Backed By Code
Player 3 Trigger List	0x51A298	4	3	Backed By Code
Player 4 Trigger List	0x51A2A4	4	3	Backed By Code
Player 5 Trigger List	0x51A2B0	4	3	Backed By Code
Player 6 Trigger List	0x51A2BC	4	3	Backed By Code
Player 7 Trigger List	0x51A2C8	4	3	Backed By Code
Player 8 Trigger List	0x51A2D4	4	3	Backed By Code
Last Random Number	0x51CA14	4	1	Simple Data
Network Mode Delay	0x51CE84	4	1	Read Only
Network Mode Delay 2	0x51CE88	4	1	
Inverse System Time	0x51CE8C	4	1	
Fog of War Update Counter	0x51CE98	4	1	Simple Data
GRP Array	0x51CED0	4	999	Read Only
Images Attack Overlay Array	0x51F2A8	4	999	Read Only
Images Damage Overlay Array	0x520244	4	999	Read Only
Images Special Overlay Array	0x5211E0	4	999	Read Only
Images Landing Dust Overlay Array	0x52217C	4	999	Read Only
Images Liftoff Dust Overlay Array	0x523118	4	999	Read Only
Images Damage Overlay Frame	0x5240D0	1	999	Simple Data
Images Shield Overlay Array	0x52E5C8	4	999	
Images Array	0x52F568	64	5000	Read Only
First Image Pointer	0x57EB68	4	1	Read Only
Last Image Pointer	0x57EB70	4	1	Read Only
Player Human IDs	0x57EE7C	4	8	Unsupported
Player Name	0x57EE9C	25	1	Unsupported
Player Nation IDs	0x57EEC0	4	8	Unsupported
Active Player Structures	0x57EEE0	36	12	Backed By Code
Last Whisper Player	0x57F094	25	1	
Vision Filter	0x57F0B0	4	1	
Multiplayer Mode	0x57F0B4	4	1	Read Only
Network Player Status Array	0x57F0B8	4	8	Unsupported
Network Maximum Buffer Size	0x57F0D8	4	1	
Main Menu Dialog Handle	0x57F0DC	4	1	Unsupported
Player Minerals	0x57F0F0	4	12	Simple Data
Player Gas	0x57F120	4	12	Simple Data
Player Total Gas Harvested	0x57F150	4	12	Simple Data
Player Total Minerals Harvested	0x57F180	4	12	Simple Data
Starting Player Local ID	0x57F1B0	4	1	Simple Data
Player Slot Types	0x57F1B4	1	12	Simple Data
Player Slot Races	0x57F1C0	1	12	Simple Data
Team Game Main Player	0x57F1CC	1	4	Simple Data
Screen Tile Position	0x57F1D0	2	2	Simple Data
MapSize	0x57F1D4	2	2	Simple Data
Messsage Send To Filter	0x57F1D8	2	2	Simple Data
Message Player Filter	0x57F1DA	2	2	Simple Data
Tileset	0x57F1DC	2	1	Simple Data
Current Music	0x57F1DE	2	2	Simple Data
BWGame Unk_f0	0x57F1E0	1	1	Simple Data
Active Player Count	0x57F1E1	1	1	Simple Data
Console Index	0x57F1E2	1	1	Simple Data
Is Custom Single Player	0x57F1E3	1	1	Simple Data
BWGame unk_f4	0x57F1E4	4	1	Simple Data
BWGame unk_f8	0x57F1E8	4	1	Simple Data
Shared Vision	0x57F1EC	4	12	Simple Data
Player Color Mapping	0x57F21C	4	8	Simple Data
Elapsed Time	0x57F23C	4	1	Simple Data
Saved Elapsed Seconds	0x57F240	4	1	Simple Data
Campaign Index	0x57F244	2	1	Simple Data
Next Scenario name	0x57F246	32	1	Simple Data
Single Player Race	0x57F266	1	1	Simple Data
Single Player Computer Races	0x57F267	1	8	Simple Data
BWGame unk_17F	0x57F26F	1	1	Simple Data
Saved Screen Positions	0x57F270	4	3	Simple Data
Player Units available	0x57F27C	228	12	Simple Data
BWGame unk_c3c	0x57FD2C	1	8	Simple Data
Last Event Position	0x57FD34	4	2	Simple Data
Map File Name	0x57FD3C	260	1	Simple Data
Map Title	0x57FE40	32	1	Simple Data
Hotkeyed Unit	0x57FE60	864	8	Simple Data
BWGame unk_2870	0x581960	1	1024	Simple Data
Default Message Filter	0x581D60	1	1	Simple Data
Player Lose Type	0x581D61	1	1	Simple Data
Player Left	0x581D62	1	8	Simple Data
Player Selection Circle Colors	0x581D6A	1	12	Simple Data
Unit Color Table	0x581D76	8	12	Simple Data
Minimap Color Table	0x581DD6	1	12	Simple Data
BWGame unk_2cf2	0x581DE2	1	2	Simple Data
Score Total Units Produced	0x581DE4	4	12	Simple Data
Score Units Produced	0x581E14	4	12	Simple Data
Score Units Owned	0x581E44	4	12	Simple Data
Number of Units Lost	0x581E74	4	12	Simple Data
Number of Units Killed	0x581EA4	4	12	Simple Data
Score Unit Total	0x581ED4	4	12	Simple Data
Score Kill Total	0x581F04	4	12	Simple Data
Score Structures Constructed Total	0x581F34	4	12	Simple Data
Number of Buildings Constructed	0x581F64	4	12	Simple Data
Number of Buildings Owned	0x581F94	4	12	Simple Data
Number of Buildings Lost	0x581FC4	4	12	Simple Data
Number of Buildings Razed	0x581FF4	4	12	Simple Data
Buildings Score	0x582024	4	12	Simple Data
Razings Score	0x582054	4	12	Simple Data
Number of Factories Constructed	0x582084	4	12	Simple Data
Number of Factories Owned	0x5820B4	4	12	Simple Data
Number of Factories Lost	0x5820E4	4	12	Simple Data
Number of Factories Razed	0x582114	4	12	Simple Data
Zerg Control Available	0x582144	4	12	Simple Data
Zerg Control Used	0x582174	4	12	Simple Data
Zerg Control Max	0x5821A4	4	12	Simple Data
Terran Supply Available	0x5821D4	4	12	Simple Data
Terran Supply Used	0x582204	4	12	Simple Data
Terran Supply Max	0x582234	4	12	Simple Data
Protoss Psi Available	0x582264	4	12	Simple Data
Protoss Psi Used	0x582294	4	12	Simple Data
Protoss Psi Max	0x5822C4	4	12	Simple Data
Score Custom	0x5822F4	4	12	Simple Data
All Unit Counts Table	0x582324	48	228	Simple Data
Completed Unit Counts Table	0x584DE4	48	228	Simple Data
Larva Count	0x585474	12	1	
Killed Unit Counts Table	0x5878A4	48	228	Simple Data
Death Table Start	0x58A364	48	228	Simple Data
SC Technologies Available (0-23)	0x58CE24	24	12	Simple Data
SC Technologies Researched (0-23)	0x58CF44	24	12	Simple Data
SC Tech Research In Progress	0x58D064	1	36	Simple Data
SC Upgrades Available (0-45)	0x58D088	46	12	Simple Data
SC Upgrades Researched (0-45)	0x58D2B0	46	12	Simple Data
SC Upgrade in Progress Lvl 1 (Unused?)	0x58D4D8	1	72	Simple Data
SC Upgrade in Progress Lvl 2 (Unused?)	0x58D520	1	72	Simple Data
Player's Force	0x58D5B0	1	8	Simple Data
Force Flags	0x58D5B8	1	4	Simple Data
Force Names	0x58D5BC	30	4	Simple Data
Player Alliances	0x58D634	12	12	Simple Data
Mission Objectives Index	0x58D6C4	4	12	Simple Data
Countdown Timer	0x58D6F4	4	1	Simple Data
Elapsed Time	0x58D6F8	4	1	Simple Data
SC Switch Table (Unused?)	0x58D6FC	4	1	Simple Data
Player Victory Status	0x58D700	1	8	Simple Data
Leaderboard Has Computer Players	0x58D708	4	1	Simple Data
Leader Board Type	0x58D70C	1	1	Simple Data
Leader Board Condition	0x58D70D	1	1	Simple Data
Leader Board Subtype	0x58D70E	2	1	Simple Data
Leader Board Goal	0x58D710	4	1	Simple Data
Leader Board String Index	0x58D714	4	1	Simple Data
#'s of Game Pauses	0x58D718	1	8	Simple Data
Start Locations	0x58D720	4	8	Simple Data
Vanilla Location Table	0x58D740	20	64	Simple Data
Switch Table	0x58DC40	32	1	Simple Data
Location Table	0x58DC60	20	255	Simple Data
Time Pause State	0x58F04C	4	1	Simple Data
BW Technologies Available (24-43)	0x58F050	20	12	Simple Data
BW Technologies Researched (24-43)	0x58F140	20	12	Simple Data
BW Tech Research In Progress	0x58F230	1	72	
BW Upgrades Available (46-60)	0x58F278	15	12	Simple Data
BW Upgrades Researched (46-60)	0x58F32C	15	12	Simple Data
BW Upgrade In Progress	0x58F3E0	1	96	Simple Data
Is Expansion	0x58F440	1	1	Simple Data
BWGame unk_10351	0x58F441	1	1	Simple Data
Unknown Player Color Something	0x58F442	1	8	Simple Data
"BWGame ""Literally Unused"""	0x58F44A	1	29604	Simple Data
Input Procedures	0x5968A0	4	19	
Mouse Left Click	0x5968AC	4	1	
Game Mode	0x596904	2	1	Unsupported
Virtual Key Array	0x596A18	1	256	Backed By Code
"Pointer to ""MTXM"" map tile data"	0x5993C4	4	1	Backed By Code
"Pointer to map ""STR "" section"	0x5993D4	4	1	Backed By Code
Game Subtype ID	0x59BA5C	4	1	
Mapdata.dat - Mission dir	0x59C080	4	65	
Last Time for Drop Window	0x59CC78	4	1	Simple Data
Drop Timer	0x59CC80	4	1	Simple Data
Unitnode Table	0x59CCA8	336	1700	Backed By Code
CUnit - Previous Unit	0x59CCA8	4	1	Supported
CUnit - Next Unit	0x59CCAC	4	1	Supported
CUnit - HP	0x59CCB0	4	1	Supported
CUnit - Sprite	0x59CCB4	4	1	Supported
CUnit - Target Pos	0x59CCB8	2	2	Supported
CUnit - Target Unit	0x59CCBC	4	1	Supported
CUnit - Next Movement Waypoint	0x59CCC0	2	2	Unsupported
CUnit - Next Target Waypoint	0x59CCC4	4	1	Unsupported
CUnit - Movement Flags	0x59CCC8	1	1	Supported
CUnit - Current Direction 1	0x59CCC9	1	1	Supported
CUnit - Flingy Turn Radius	0x59CCCA	1	1	Supported
CUnit - Velocity Direction 1	0x59CCCB	1	1	Supported
CUnit - Flingy ID	0x59CCCC	2	1	Supported
CUnit - Flingy Movement Type	0x59CCCF	1	1	Supported
CUnit - Position Coordinates	0x59CCD0	2	2	Supported
CUnit - Halt X Coordinate	0x59CCD4	4	1	Supported
CUnit - Halt Y Coordinate	0x59CCD8	4	1	Supported
CUnit - Flingy Top Speed	0x59CCDC	4	1	Supported
CUnit - Move Acceleration	0x59CCE0	4	1	Supported
CUnit - Move Speed	0x59CCE4	4	1	Supported
CUnit - Move Speed On X-Axis	0x59CCE8	4	1	Supported
CUnit - Move Speed On Y-Axis	0x59CCEC	4	1	Supported
CUnit - Flingy Acceleration	0x59CCF0	2	1	Supported
CUnit - Current Direction 2	0x59CCF2	1	1	Supported
CUnit - Velocity Direction 2	0x59CCF3	1	1	Supported
CUnit - Player ID	0x59CCF4	1	1	Supported
CUnit - Main Order ID	0x59CCF5	1	1	Supported
CUnit - Main Order State	0x59CCF6	1	1	Supported
CUnit - Order Signal	0x59CCF7	1	1	Supported
CUnit - Order Unit Type	0x59CCF8	2	1	Supported
CUNIT - Idle Order Timer	0x59CCF9	4	1	
CUnit - Main Order Timer	0x59CCFC	1	1	Supported
CUnit - Cooldown	0x59CCFD	1	3	Supported
CUnit - Order Coordinates	0x59CD00	2	2	Supported
CUnit - Order Target Unit	0x59CD04	4	1	Supported
CUnit - Shield Points	0x59CD08	4	1	Supported
CUnit - Unit Type	0x59CD0C	2	1	Supported
CUnit - Previous Player Unit	0x59CD10	4	1	Supported
CUnit - Next Player Unit	0x59CD14	4	1	Supported
CUnit - Sub Unit	0x59CD18	4	1	Supported
CUnit - Order Queue Head	0x59CD1C	4	1	
CUnit - Order Queue Tail	0x59CD20	4	1	
CUnit - Auto-Target Unit	0x59CD24	4	1	Supported
CUnit - Connected Unit	0x59CD28	4	1	Supported
CUnit - Order Queue Count	0x59CD2C	1	1	Supported
CUnit - Order Queue Timer	0x59CD2D	1	1	Supported
CUnit - Unknown 0x086	0x59CD2E	1	1	Supported
CUnit - Attack Notify Timer	0x59CD2F	1	1	Supported
CUnit - Previous Unit Type	0x59CD30	2	1	
CUnit - Last Event Timer	0x59CD32	1	1	
CUnit - Last Event Color	0x59CD33	1	1	
CUnit - Unused 0x08C	0x59CD34	2	1	Supported
CUnit - Rank Increase	0x59CD36	1	1	Supported
CUnit - Kill Count	0x59CD37	1	1	Supported
CUnit - Last Attacking Player	0x59CD38	1	1	Supported
CUnit - Secondary Order Timer	0x59CD39	1	1	Supported
CUnit - AI Action Flag	0x59CD3A	1	1	Supported
CUnit - User Action Flags	0x59CD3B	1	1	Supported
CUnit - Button Set	0x59CD3C	2	1	Supported
Order Destination Invalid (???)	0x59CD3C	4	1	
CUnit - Is Cloaked	0x59CD3E	1	1	Supported
CUnit - Movement State	0x59CD3F	1	1	Supported
CUnit - Build Queue	0x59CD40	2	5	Supported
CUnit - Energy	0x59CD4A	2	1	Supported
CUnit - Build Queue Slot	0x59CD4C	1	1	Supported
